# Final cluster catalogue of successfully downloaded clusters
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
ID Name "RA [deg]" "Dec [deg]" z_cl Richness "BCG redshift"
250 HSCJ012751+002712 21.962473 0.453217 0.268 17.044 0.28706
251 HSCJ012815+001608 22.063066 0.269018 0.264 16.572 0.28685
252 HSCJ012823+001439 22.094864 0.244033 0.3569 29.741 0.37797
253 HSCJ012837+000237 22.154041 0.043652 0.3561 40.087 0.39216
254 HSCJ012906+004014 22.273673 0.670674 0.348 22.83 0.35319
255 HSCJ015559-025728 28.994236 -2.957641 0.2309 17.028 -1.0
256 HSCJ015654-042426 29.226423 -4.407102 0.1378 29.739 0.13352
257 HSCJ015707-022014 29.279903 -2.337359 0.438 21.385 -1.0
258 HSCJ015712-055505 29.300557 -5.918166 0.1335 34.009 0.10012
259 HSCJ015714-022418 29.30923 -2.404867 0.235 30.628 -1.0
260 HSCJ015719-005009 29.329726 -0.835911 0.23 15.484 0.23761
261 HSCJ015721-024305 29.338641 -2.71819 0.172 31.206 0.17244
262 HSCJ015725-050156 29.35563 -5.03215 0.302 22.287 -1.0
263 HSCJ015727-000508 29.360736 -0.085461 0.318 16.883 -1.0
264 HSCJ015727-012350 29.363506 -1.397123 0.204 32.198 0.21501
265 HSCJ015730-010729 29.377049 -1.124819 0.4667 21.141 0.47129
266 HSCJ015744-030450 29.434672 -3.080513 0.1718 23.927 -1.0
267 HSCJ015752-034459 29.467867 -3.749798 0.2185 39.592 -1.0
268 HSCJ015755-052116 29.477677 -5.354545 0.3 17.232 -1.0
269 HSCJ015808-003943 29.531912 -0.661928 0.1807 43.551 -1.0
270 HSCJ015824-055900 29.601618 -5.983461 0.308 18.824 -1.0
271 HSCJ015826-014639 29.607967 -1.777592 0.1625 62.235 0.16327
272 HSCJ015829-021548 29.622499 -2.263352 0.4399 19.15 0.44129
273 HSCJ015833-041142 29.635549 -4.19493 0.4395 15.219 0.43743
274 HSCJ015844-053842 29.684581 -5.645053 0.4997 20.576 -1.0
275 HSCJ015849-002401 29.70566 -0.400153 0.338 34.933 0.36575
276 HSCJ015902-051025 29.759144 -5.173553 0.3853 18.045 -1.0
277 HSCJ015916+003138 29.818432 0.527246 0.426 17.39 -1.0
278 HSCJ015921-034317 29.83657 -3.721369 0.1811 42.646 0.1788
279 HSCJ015931-000617 29.878453 -0.104634 0.1606 36.096 0.15608
280 HSCJ015936-024913 29.897992 -2.820192 0.4719 18.687 0.47366
281 HSCJ015943-060907 29.927155 -6.152051 0.1915 23.221 0.18504
282 HSCJ015943-012310 29.92839 -1.386226 0.2558 26.442 -1.0
283 HSCJ015943-015558 29.929863 -1.932665 0.1859 29.837 -1.0
284 HSCJ020008+000127 30.033109 0.024206 0.3505 29.748 0.3792
285 HSCJ020014-011328 30.060244 -1.224369 0.202 17.148 -1.0
286 HSCJ020019-032918 30.081027 -3.488255 0.2946 33.024 -1.0
287 HSCJ020031+004431 30.127452 0.742031 0.406 26.096 0.38684
288 HSCJ020032+010224 30.131582 1.040101 0.3209 23.967 0.3407
289 HSCJ020034-052658 30.143413 -5.449417 0.2399 21.884 0.22915
290 HSCJ020057+012142 30.235968 1.361723 0.481 23.937 -1.0
291 HSCJ020117-012431 30.319625 -1.408533 0.2007 35.003 0.20858
292 HSCJ020118-055349 30.324183 -5.897054 0.2276 15.474 0.23529
293 HSCJ020120-002725 30.334586 -0.456882 0.162 19.172 0.15966
294 HSCJ020123-043626 30.344671 -4.607092 0.35 17.217 -1.0
295 HSCJ020130-053048 30.37623 -5.513414 0.1991 17.747 0.18896
296 HSCJ020134-030006 30.39351 -3.001634 0.322 17.033 0.3296
297 HSCJ020136-062404 30.399871 -6.401017 0.3436 16.627 0.33813
298 HSCJ020137-062455 30.406133 -6.415277 0.4166 26.628 -1.0
299 HSCJ020141-050149 30.420749 -5.030172 0.2352 18.638 0.23324
300 HSCJ020147-021154 30.445168 -2.198313 0.2049 84.651 0.19341
301 HSCJ020147-044059 30.447454 -4.683179 0.192 18.351 0.18006
302 HSCJ020156-011302 30.481825 -1.217335 0.3439 21.273 0.36651
303 HSCJ020200-014007 30.501523 -1.668491 0.1904 24.849 0.20894
304 HSCJ020210-031115 30.543683 -3.187529 0.1574 35.921 0.1538
305 HSCJ020218-030048 30.575803 -3.013384 0.3571 23.054 0.35945
306 HSCJ020220-002909 30.583228 -0.485719 0.349 20.128 0.36982
307 HSCJ020228-050125 30.615002 -5.023634 0.2286 19.955 0.2325
308 HSCJ020233-014140 30.636133 -1.694486 0.363 16.042 0.36319
309 HSCJ020251-002925 30.712501 -0.490299 0.4318 16.592 -1.0
310 HSCJ020253-040451 30.720677 -4.080894 0.2662 23.217 0.2923
311 HSCJ020256-021551 30.731487 -2.264072 0.1756 31.357 0.17746
312 HSCJ020300-004236 30.748476 -0.709982 0.4324 35.407 0.43531
313 HSCJ020302-045938 30.758979 -4.993781 0.5 22.106 0.51206
314 HSCJ020314-004718 30.807224 -0.788273 0.352 44.679 0.37172
315 HSCJ020324-034605 30.850468 -3.768019 0.2789 30.675 0.29183
316 HSCJ020345-015053 30.937285 -1.848057 0.1693 20.408 -1.0
317 HSCJ020358-041322 30.990101 -4.222649 0.1432 24.12 0.13433
318 HSCJ020403-021454 31.011899 -2.248371 0.1814 30.541 0.1781
319 HSCJ020430+001816 31.125636 0.30451 0.1687 26.571 0.17258
320 HSCJ020447-011713 31.196517 -1.287043 0.306 37.532 -1.0
321 HSCJ020500-055549 31.251621 -5.93014 0.394 27.427 0.41344
322 HSCJ020510-045506 31.290549 -4.918395 0.218 18.632 0.21136
323 HSCJ020523-033042 31.346803 -3.511757 0.4995 17.417 0.49527
324 HSCJ020525-054357 31.354827 -5.732362 0.2763 57.934 0.29517
325 HSCJ020527-020717 31.362775 -2.121522 0.1804 27.179 -1.0
326 HSCJ020531+001123 31.379417 0.189744 0.1608 15.106 0.17163
327 HSCJ020549-032103 31.452305 -3.350731 0.1675 27.409 0.16475
328 HSCJ020616-013046 31.566001 -1.512764 0.1833 19.719 -1.0
329 HSCJ020621-050052 31.587557 -5.014376 0.4129 15.449 0.4117
330 HSCJ020623-055948 31.594401 -5.996573 0.28 15.671 0.32766
331 HSCJ020623-011832 31.595229 -1.308775 0.1899 52.87 0.19845
332 HSCJ020632-030926 31.634617 -3.157185 0.44 23.059 -1.0
333 HSCJ020640-052038 31.668715 -5.343937 0.1498 19.269 0.13751
334 HSCJ020648-022923 31.700819 -2.489672 0.2951 15.615 0.28468
335 HSCJ020706-025606 31.77528 -2.934937 0.3619 15.822 0.37815
336 HSCJ020707-032013 31.777749 -3.336961 0.44 21.326 0.43736
337 HSCJ020720-044931 31.833568 -4.825267 0.2628 19.312 0.25448
338 HSCJ020724-013427 31.848788 -1.574261 0.194 23.523 0.2113
339 HSCJ020729-000929 31.869481 -0.158114 0.18 15.38 0.17442
340 HSCJ020729-004825 31.870332 -0.80693 0.354 17.031 0.37641
341 HSCJ020800-032509 31.999522 -3.419201 0.2057 27.138 0.20933
342 HSCJ020824-030348 32.098804 -3.06343 0.208 22.5 0.2103
343 HSCJ020829-041356 32.119816 -4.232308 0.33 16.635 0.36183
344 HSCJ020829-045632 32.120708 -4.942329 0.2685 16.415 0.30751
345 HSCJ020829-010407 32.121064 -1.068574 0.232 24.26 -1.0
346 HSCJ020845-035842 32.188104 -3.978243 0.24 29.942 0.24288
347 HSCJ020905-055529 32.270784 -5.924761 0.4308 15.185 0.42343
348 HSCJ020911-062019 32.297146 -6.338483 0.4866 18.683 0.49429
349 HSCJ020913-030718 32.304579 -3.121706 0.4196 15.188 0.45074
350 HSCJ020929-001225 32.370221 -0.206839 0.1581 15.717 0.152
351 HSCJ020938+022257 32.407415 2.38243 0.402 44.655 0.40636
352 HSCJ020942+022146 32.423746 2.3628 0.3455 15.361 -1.0
353 HSCJ020942-024502 32.425769 -2.750684 0.2075 28.571 0.20788
354 HSCJ020947-042126 32.446085 -4.357123 0.1326 17.564 0.13881
355 HSCJ020950-045750 32.458815 -4.964024 0.1601 18.242 0.14029
